id,tmdb_id,title,poster_path,is_watchlist,abandoned,rating,platform,opinion,date_watched,director,genres,cast,user_id
1,1316092,“Cumbres Borrascosas”,/afGUJcMBJloAUp9uC27MQiqkD7X.jpg,0,0,70,Cine,Boludos los 2. Se murió por el egoísmo de ambos,2026-03-08,Emerald Fennell,"Romance, Drama","Margot Robbie, Jacob Elordi, Hong Chau",1
2,1138194,Heretic,/rpo3DJFMOSAz27gDwxJ5LIwIFni.jpg,0,0,60,Amazon Prime,Esperaba más. La peli daba para mas,2026-01-07,Scott Beck,"Suspense, Terror","Hugh Grant, Sophie Thatcher, Chloe East",1
3,10591,La vecina de al lado,/ad9tM1Zet4s8DVbFsAX4cYdkIPd.jpg,0,0,70,Disney+,Aprobada,2026-01-07,Luke Greenfield,"Comedia, Romance","Emile Hirsch, Elisha Cuthbert, Timothy Olyphant",1
4,141,Donnie Darko,/1YjDHBC4v2O7IQDKYAiM8fOxzf3.jpg,0,0,55,Amazon Prime,No la entendí. Me dejó hasta el día de hoy recalculando sobre lo que ví,2026-01-07,Richard Kelly,"Fantasía, Drama, Misterio","Jake Gyllenhaal, Jena Malone, James Duval",1
5,9481,El coleccionista de huesos,/rKJHQVzmFtmmGcdQPqShwAdvJ1G.jpg,0,0,66,HBO,Tiene mejores películas Denzel,2026-01-07,Phillip Noyce,"Crimen, Suspense, Drama, Misterio","Denzel Washington, Angelina Jolie, Queen Latifah",1
6,65754,Millennium: Los hombres que no amaban a las mujeres,/13lnsvTZ6534dupLhVIkr0b83un.jpg,0,0,,Amazon Prime,,,David Fincher,"Suspense, Crimen, Misterio","Daniel Craig, Rooney Mara, Christopher Plummer",1
7,27205,Origen,/tXQvtRWfkUUnWJAn2tN3jERIUG.jpg,0,0,,HBO,Muy buena. No me acuerdo para puntuarla,,Christopher Nolan,"Acción, Ciencia ficción, Aventura","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",1
8,11324,Shutter Island,/56utveUWJwmG12YU7c2zKw6pbRZ.jpg,0,0,,Netflix,,,Martin Scorsese,"Drama, Suspense, Misterio","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley",1
9,157336,Interstellar,/fbUwSqYIP0isCiJXey3staY3DNn.jpg,0,0,,HBO,,,Christopher Nolan,"Aventura, Drama, Ciencia ficción","Matthew McConaughey, Anne Hathaway, Michael Caine",1
10,278,Cadena perpetua,/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg,0,0,,HBO,,,Frank Darabont,"Drama, Crimen","Tim Robbins, Morgan Freeman, Bob Gunton",1
